iter	Logloss
0	0.6560194369
1	0.6223663979
2	0.5954247513
3	0.5724533912
4	0.5488125615
5	0.5275926535
6	0.5103877621
7	0.4965250431
8	0.4841957369
9	0.4715156259
10	0.4610478723
11	0.4523884635
12	0.4444846863
13	0.4369976213
14	0.4302408806
15	0.4220939524
16	0.416821627
17	0.4126942632
18	0.4079473307
19	0.4043927437
20	0.40099815
21	0.397153195
22	0.3937341861
23	0.3898112706
24	0.386353814
25	0.3839699692
26	0.3814544446
27	0.3783377659
28	0.3759658246
29	0.3730071025
30	0.3701474347
31	0.3685459035
32	0.3667113147
33	0.3655322815
34	0.3635291218
35	0.361262655
36	0.3600865804
37	0.3588101968
38	0.3577254248
39	0.3567747149
40	0.3552105334
41	0.354061875
42	0.3534145411
43	0.351847643
44	0.3507837083
45	0.3497065936
46	0.3489721506
47	0.3483389897
48	0.3471685565
49	0.3467039608
50	0.3462321108
51	0.3456134836
52	0.3453008069
53	0.3441913872
54	0.3436392397
55	0.3429854376
56	0.3426308526
57	0.3419874579
58	0.3417145532
59	0.3412659045
60	0.3407475551
61	0.3400637811
62	0.3396251484
63	0.3394306595
64	0.3391402803
65	0.3387941873
66	0.3383008444
67	0.3378966597
68	0.337652753
69	0.3372875501
70	0.3369089394
71	0.3365254623
72	0.3357338635
73	0.3353524943
74	0.3350294267
75	0.3346196243
76	0.3344261399
77	0.3340925819
78	0.3338268851
79	0.3336378687
80	0.3333844081
81	0.3331484677
82	0.3330543196
83	0.3327632003
84	0.3325170344
85	0.3320902427
86	0.3316695213
87	0.3314055991
88	0.3311849849
89	0.3308008167
90	0.3305800787
91	0.330255932
92	0.3301122
93	0.329841266
94	0.3295162962
95	0.3293635727
96	0.329230237
97	0.3290912466
98	0.3287854005
99	0.3283477115
100	0.3280006818
101	0.3277267948
102	0.3274964582
103	0.3272845413
104	0.3269780066
105	0.326760929
106	0.3266037069
107	0.3263494931
108	0.326202266
109	0.3258588066
110	0.3256347025
111	0.325565375
112	0.3252651809
113	0.3251019743
114	0.32475641
115	0.3246393113
116	0.3244256204
117	0.3241545778
118	0.3238839684
119	0.323738742
120	0.3236645393
121	0.3234677616
122	0.3232557496
123	0.323163451
124	0.3229664937
125	0.3228426696
126	0.3227159255
127	0.3226267129
128	0.3224196912
129	0.3223086042
130	0.3221989799
131	0.322173338
132	0.3219039815
133	0.3217787047
134	0.3217142376
135	0.3217083977
136	0.3215156412
137	0.3214508521
138	0.3212547497
139	0.3211962117
140	0.3210971352
141	0.320987131
142	0.3209456578
143	0.3208147198
144	0.3207175351
145	0.3205861302
146	0.3205733408
147	0.3204590099
148	0.3203901661
149	0.3202895648
150	0.320136292
151	0.3200707677
152	0.3199315772
153	0.3198497363
154	0.3195867086
155	0.3194718758
156	0.3193188261
157	0.3191745746
158	0.3190609615
159	0.3189198015
160	0.3188258831
161	0.3187729261
162	0.3186098803
163	0.3184270399
164	0.3183619852
165	0.318251597
166	0.3180724122
167	0.3178954005
168	0.3177649266
169	0.3176743517
170	0.3175664262
171	0.3173670945
172	0.3172895166
173	0.3171061013
174	0.3170204457
175	0.3169409029
176	0.3167068915
177	0.3165634379
178	0.316505349
179	0.3164088437
180	0.3163229254
181	0.3162024421
182	0.3161313855
183	0.3160535476
184	0.3159527737
185	0.3158540753
186	0.3157185391
187	0.3155995303
188	0.3154667274
189	0.3153370503
190	0.3152134875
191	0.315120025
192	0.3149703865
193	0.314920812
194	0.314835545
195	0.3147254472
196	0.314625011
197	0.3145128528
198	0.3143854413
199	0.3142658872
